id,brand,primaryCategories,colors,ean / upc,manufacturer,name,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.size,color 1,color 2,color 3,color 4,color 5,color 6,category 1,category 2,category 3,category 4,category 5,category 6,category 7
AWo-CavOJbEilcB6NixV,Sanuk,Shoes,Black,888856000000,,Sanuk Women's Yoga Gora Gora Black Sandal - 6M,49.95,49.95,TRUE,USD,6M,Black,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CeehM263mwCq7Db6,INC International Concepts,Shoes,Classic Tan,636207000000,,Inc International Concepts Womens Lilbeth Open Toe Casual Platform Sandals,63.6,63.6,TRUE,USD,8,Classic,Tan,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-Cf4ZJbEilcB6Niz7,Aerosoles,Shoes,Black Faux Leather,825074000000,,Women's Aerosoles Right Plush Strappy Sandal,63.16,63.16,FALSE,USD,5.5,Black,Faux,Leather,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CIeLM263mwCq7DS5,Unique Bargains,Shoes,Black,693618000000,,Women's Open Toe Lace Up Color Block Heel Sandals Rose Pink (Size 7.5),31.99,31.99,TRUE,USD,7,Black,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CiFaAGTnQPR7sP6-,L'Artiste by Spring Step,Shoes,Pink Multi Leather,889797000000,,Women's L'Artiste by Spring Step Poetic Thong Sandal,89.95,89.95,TRUE,USD,37,Pink,Multi,Leather,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CK-BM263mwCq7DTu,Chinese Laundry,Shoes,Silver,786000000000,,Chinese Laundry Womens Pretty Satin Satin Open Toe Casual Slide Sandals,34.64,34.64,TRUE,USD,8.5,Silver,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CLR4M263mwCq7DTv,Unique Bargains,Shoes,Gold,694000000000,,Womens Open Toe Slingback Block Heel Ankle Strap Sandals Gold (Size 6),32.99,32.99,TRUE,USD,6,Gold,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-Cm9bM263mwCq7DgN,Pleaser,Shoes,Clear/Clear,885000000000,,Women's Pleaser Sky 308,45.95,45.95,TRUE,USD,6,Clear,Clear,,,,,Womens Shoes,Clothing,All Womens Shoes,Shoes,,,
AWo-CnKeM263mwCq7DgY,Qupid,Shoes,Peach,956000000000,,Qupid AG42-Identity-08x Women Leatherette Open Toe Strappy Flat Sandal,18.99,18.99,FALSE,USD,5.5,Peach,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CnNk0U_gzG0hgCZu,Rialto,Shoes,Dark Blue Denim Fabric,190748000000,,Women's Rialto Alix Slide,30.5,30.5,FALSE,USD,7.5,Dark,Blue,Denim,Fabric,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CoAjM263mwCq7Dgo,INC International Concepts,Shoes,Leopard,636000000000,,Inc International Concepts Womens Carma Pointed Toe Ankle Strap Classic Pumps,42.15,42.15,TRUE,USD,5.5,Leopard,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CpaUM263mwCq7DhO,Qupid,Shoes,Blood Orangeandnbsp,656144000000,,Qupid Katz 43X Women's Open Toe Block Heel Sandal,19.95,19.95,TRUE,USD,7,Blood,Orangeandnbsp,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CpDm0U_gzG0hgCad,Grendha,Shoes,Gold,637468000000,,Grendha Women's Python Thong Sandal-Bronze-Size 7,22,22,TRUE,USD,Size 6,Gold,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CRSnM263mwCq7DVA,Pleaser,Shoes,Black Patent,885488000000,,Women's Pleaser Amuse 15,41.85,41.85,TRUE,USD,6,Black,Patent,,,,,Womens Shoes,Clothing,All Womens Shoes,Shoes,,,
AWo-CUf40U_gzG0hgCQC,David Tate,Shoes,Black Suede,192000000000,,Women's David Tate Reba Wedge Sandal,83.96,83.96,TRUE,USD,9.5,Black,Suede,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-CZX40U_gzG0hgCSq,David Tate,Shoes,Silver Cosmo,191853000000,,Women's David Tate Lilly Walking Sandal,86.21,86.21,TRUE,USD,8.5,Silver,Cosmo,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-D_vN0U_gzG0hgCvQ,De Blossom,Shoes,Silver,708702000000,,De Blossom Xara-4 Vegan Leather Casual High Strappy Gladiator Flat Sandal,38.95,38.95,TRUE,USD,8 BM US,Silver,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-D1Z_0U_gzG0hgCud,Michael Michael Kors,Shoes,Pale Gold,192000000000,,Michael Michael Kors Womens Damita Canvas Open Toe Casual Platform Sandals,54.99,54.99,TRUE,USD,11 Medium BM,Pale,Gold,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-D2nfM263mwCq7D0i,Easy Street,Shoes,Black,890000000000,,Easy Street Kindly Open Toe Synthetic Wedge Sandal,29.72,29.72,FALSE,USD,6,Black,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-D7YjM263mwCq7D07,L'Artiste by Spring Step,Shoes,Blue Multi Leather,890000000000,,Women's L'Artiste by Spring Step Vesta Slingback,89.95,89.95,TRUE,USD,36,Blue,Multi,Leather,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-D8PpJbEilcB6NjMb,Pleaser,Shoes,Silver Metallic Pu and Clear,885488000000,,"LOVELY-442, 4 Inch Ankle Strap Wedge Sandal",35.29,35.29,TRUE,USD,Size 5,Silver,Metallic,Pu,and,Clear,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-DAk60U_gzG0hgClA,Madden Girl,Shoes,Lavender Micro,882946000000,,Madden Girl Womens Beella Fabric Open Toe Casual Ankle Strap Sandals,39.96,39.96,TRUE,USD,7,Lavender,Micro,,,,,Womens Shoes,Clothing,All Womens Shoes,Shoes,,,
